cve_entidad	desc_entidad	cve_municipio	desc_municipio	id_indicador	indicador	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2005/t1	2005/t2	2005/t3	2005/t4	2006	2006/t1	2006/t2	2006/t3	2006/t4	2007	2007/t1	2007/t2	2007/t3	2007/t4	2008	2008/t1	2008/t2	2008/t3	2008/t4	2009	2009/t1	2009/t2	2009/t3	2009/t4	2010	2010/t1	2010/t2	2010/t3	2010/t4	2011	2011/t1	2011/t2	2011/t3	2011/t4	2012	2012/t1	2012/t2	2012/t3	2012/t4	2013	2013/t1	2013/t2	2013/t3	2013/t4	2014	2014/t1	2014/t2	2014/t3	2014/t4	2015	2015/t1	2015/t2	2015/t3	2015/t4	2016	2016/t1	2016/t2	2016/t3	2016/t4	2017	2017/t1	2017/t2	2017/t3	2017/t4	2018	2018/t1	2018/t2	2018/t3	2018/t4	2019	2019/t1	2019/t2	2019/t3	2019/t4	2020	2020/t1	2020/t3	2020/t4	2021	2021/t1	2021/t2	2021/t3	2021/t4	2022	2022/t1	2022/t2	2022/t3	2022/t4	2023	2023/t1	2023/t2	2023/t3	2023/t4	2024/t1	2024/t2	2024/t3	2024/t4	2025/t1	unidad_medida
09	Ciudad de México	0	Estatal	5300000017	Personal ocupado total. Sector 23. Construcción					179378					98971																	108399																																																		111293																																		Número de personas
09	Ciudad de México	0	Estatal	5300000018	Personal ocupado total. Sector 31-33. Industrias manufactureras					510847					447857																	404772																																																		352501																																		Número de personas
09	Ciudad de México	0	Estatal	5300000019	Personal ocupado total. Sector 48-49. Transportes					185957					150250																	191940																																																		212495																																		Número de personas
09	Ciudad de México	0	Estatal	5300000020	Personal ocupado total. Sector 52. Servicios financieros y de seguros					229621					201596																	341742																																																		402484																																		Número de personas
09	Ciudad de México	0	Estatal	6200032077	Población no económicamente activa - 15 años y más													2709287	2692947	2645083	2585567		2524082	2537419	2423764	2485538		2486600	2553768	2537892	2515583		2573643	2544657	2635426	2707494		2718649	2724048	2632155	2745957		2756225	2701573	2639334	2751688		2751582	2700412	2574053	2553408		2576596	2477014	2503129	2494264		2621455	2678361	2652223	2683792		2812761	2736965	2720272	2808005		2890573	2836102	2752211	2828433		2806210	2859543	2775786	2841817		2900223	2972649	2865615	2974825		2948913	2829121	2821717	2883482		2909459	2858668	2851382	2866792		2984391	3779355	3496528		3571092	3322602	3067865	3044143		3094797	3001526	3062468	2936866		3001991	2974481	2991166	3088489	3086662	2977694	2935004	2785304	2948491	Número de personas
09	Ciudad de México	0	Estatal	6200032078	Población no económicamente activa disponible - 15 años y más													376999	398041	490344	428955		433703	504265	488488	388178		394681	425501	402170	453330		377892	405113	403139	406451		426841	498797	445301	463769		475777	454059	457489	541149		514613	488469	426322	438498		435735	443872	462542	451116		474209	480499	423681	465464		562805	438206	455366	478976		600769	543983	541344	469589		500525	511454	480655	561431		534398	610776	547074	536471		540924	486605	419389	481595		429683	463762	428475	491670		570692	1289084	1091730		1015067	824851	680958	575559		698624	695491	498939	580338		508406	530774	525826	480524	460705	366777	510023	408811	404135	Número de personas
09	Ciudad de México	0	Estatal	6200032079	Población no económicamente activa no disponible - 15 años y más													2332288	2294906	2154739	2156612		2090379	2033154	1935276	2097360		2091919	2128267	2135722	2062253		2195751	2139544	2232287	2301043		2291808	2225251	2186854	2282188		2280448	2247514	2181845	2210539		2236969	2211943	2147731	2114910		2140861	2033142	2040587	2043148		2147246	2197862	2228542	2218328		2249956	2298759	2264906	2329029		2289804	2292119	2210867	2358844		2305685	2348089	2295131	2280386		2365825	2361873	2318541	2438354		2407989	2342516	2402328	2401887		2479776	2394906	2422907	2375122		2413699	2490271	2404798		2556025	2497751	2386907	2468584		2396173	2306035	2563529	2356528		2493585	2443707	2465340	2607965	2625957	2610917	2424981	2376493	2544356	Número de personas
09	Ciudad de México	0	Estatal	6200032080	Población ocupada con ingresos de hasta un salario mínimo - 15 años y más													260194	303850	312214	327430		303469	300546	281621	301788		319295	278646	297842	315934		267959	345402	280422	302938		243372	304378	309497	299338		322738	336675	379495	309614		296900	318736	341067	312821		346125	378886	364049	342037		348659	353849	420087	376421		362978	347209	388278	429923		372332	464549	420076	500720		475705	490423	524817	472289		468710	437646	447693	551150		575979	606764	608581	611138		732495	757065	751588	762015		801515	795394	991189		1063856	1185837	1238145	1211117		1407951	1550370	1492727	1432991		1699096	1629344	1629059	1515574	1728293	1678983	1730100	1603046	1787045	Número de personas
09	Ciudad de México	0	Estatal	6200032081	"Población ocupada con ingresos de hasta un salario mínimo - 15 años y más, hombres"													92207	115595	102422	126125		118306	104904	114792	115233		127052	93047	124764	120582		87965	119432	102765	117516		90413	114687	121656	108087		121296	122763	131747	121971		118622	117826	121520	120974		128171	143905	130604	128093		142537	134197	172347	161131		130716	139336	152355	181134		134143	203900	181602	220434		205495	188545	219538	188718		194886	178139	174081	247625		224376	255524	249388	250730		316723	328664	316666	339096		354205	399953	494192		545073	608952	637850	590277		709485	777980	747704	669776		828878	760101	770012	736770	811010	772400	832320	728020	838489	Número de personas
09	Ciudad de México	0	Estatal	6200032082	"Población ocupada con ingresos de hasta un salario mínimo - 15 años y más, mujeres"													167987	188255	209792	201305		185163	195642	166829	186555		192243	185599	173078	195352		179994	225970	177657	185422		152959	189691	187841	191251		201442	213912	247748	187643		178278	200910	219547	191847		217954	234981	233445	213944		206122	219652	247740	215290		232262	207873	235923	248789		238189	260649	238474	280286		270210	301878	305279	283571		273824	259507	273612	303525		351603	351240	359193	360408		415772	428401	434922	422919		447310	395441	496997		518783	576885	600295	620840		698466	772390	745023	763215		870218	869243	859047	778804	917283	906583	897780	875026	948556	Número de personas
09	Ciudad de México	0	Estatal	6200032083	Población ocupada con ingresos de más de 1 hasta 2 salarios mínimos - 15 años y más													855467	847909	823674	816153		717424	774796	707815	748742		835098	810197	826176	832512		814238	885316	848412	819570		921324	864554	859507	883154		926912	890635	896747	931209		909705	901565	871418	884195		861386	889859	870000	855400		974213	975364	897483	908502		913415	900955	950597	953792		964668	975994	1049500	883278		1005377	946605	1005822	989227		1018365	1083870	1024850	985721		1114063	1085361	1065854	1091679		1231021	1228455	1243409	1286070		1402256	1085037	1128625		1161193	1195781	1388719	1352361		1342130	1403045	1354764	1411510		1411337	1429098	1377613	1504692	1409195	1305783	1429261	1523718	1498444	Número de personas
09	Ciudad de México	0	Estatal	6200032084	"Población ocupada con ingresos de más de 1 hasta 2 salarios mínimos - 15 años y más, hombres"													482021	438857	442591	428100		341461	386853	345054	361492		426803	399613	426968	406001		412896	440729	451396	410972		448423	443369	428856	449025		489578	455927	476388	472536		462614	457639	449821	441702		426312	440022	443861	414306		506528	512011	464047	441565		477562	457315	492110	499670		521813	511072	546274	469282		557236	505827	543857	538083		562543	613384	530317	533999		578696	578872	572866	581305		670812	701671	691463	700195		793847	619126	626522		654897	693398	761226	763137		784620	821200	799024	838978		822377	837008	817586	860657	829712	733889	788378	857910	814612	Número de personas
09	Ciudad de México	0	Estatal	6200032085	"Población ocupada con ingresos de más de 1 hasta 2 salarios mínimos - 15 años y más, mujeres"													373446	409052	381083	388053		375963	387943	362761	387250		408295	410584	399208	426511		401342	444587	397016	408598		472901	421185	430651	434129		437334	434708	420359	458673		447091	443926	421597	442493		435074	449837	426139	441094		467685	463353	433436	466937		435853	443640	458487	454122		442855	464922	503226	413996		448141	440778	461965	451144		455822	470486	494533	451722		535367	506489	492988	510374		560209	526784	551946	585875		608409	465911	502103		506296	502383	627493	589224		557510	581845	555740	572532		588960	592090	560027	644035	579483	571894	640883	665808	683832	Número de personas
09	Ciudad de México	0	Estatal	6200032086	Población ocupada con ingresos de más de 2 hasta 3 salarios mínimos - 15 años y más													851805	895630	931638	872948		1058351	977320	1048519	973740		868047	853589	887710	902670		921934	876551	899655	861409		780284	710994	763941	810452		914562	869582	884143	883452		841859	829147	854995	856679		873179	818971	847801	882042		809332	720349	779531	783353		853537	798464	815381	793275		795854	788671	846329	841843		808536	772624	852346	842493		916489	918213	877882	801579		803480	868100	794144	784006		867555	798784	866769	837780		830459	561475	625801		458699	535570	481561	582042		482882	496359	452312	496451		516642	446572	471315	476382	470366	539205	591227	572210	434360	Número de personas
09	Ciudad de México	0	Estatal	6200032087	"Población ocupada con ingresos de más de 2 hasta 3 salarios mínimos - 15 años y más, hombres"													525341	537805	563780	506439		681689	626065	644468	581176		521885	509943	532281	522917		560389	528792	536714	509322		459437	422682	440236	475946		562880	548396	534318	523351		520759	518906	521855	511196		551163	511167	536224	519476		489031	421633	443168	470735		493055	483341	498591	488324		442169	474464	495099	513158		518524	490911	538436	531542		561669	541948	523156	463066		495748	534479	511153	498009		561575	509028	563249	538611		502097	329313	379694		300805	316934	277977	358893		298789	314390	264971	301478		337967	281630	303544	290852	274334	311797	321611	326568	269134	Número de personas
09	Ciudad de México	0	Estatal	6200032088	"Población ocupada con ingresos de más de 2 hasta 3 salarios mínimos - 15 años y más, mujeres"													326464	357825	367858	366509		376662	351255	404051	392564		346162	343646	355429	379753		361545	347759	362941	352087		320847	288312	323705	334506		351682	321186	349825	360101		321100	310241	333140	345483		322016	307804	311577	362566		320301	298716	336363	312618		360482	315123	316790	304951		353685	314207	351230	328685		290012	281713	313910	310951		354820	376265	354726	338513		307732	333621	282991	285997		305980	289756	303520	299169		328362	232162	246107		157894	218636	203584	223149		184093	181969	187341	194973		178675	164942	167771	185530	196032	227408	269616	245642	165226	Número de personas
09	Ciudad de México	0	Estatal	6200032089	Población ocupada con ingresos de más de 3 hasta 5 salarios mínimos - 15 años y más													818562	816570	819178	846421		762917	786431	751084	730086		721085	702260	774863	698297		773185	783588	766363	703546		815138	854109	828022	752995		654836	640159	609787	590780		664764	611196	598783	654390		663344	614187	681864	604738		669326	623110	674221	691525		633047	613024	550847	556071		623129	598265	662611	661390		568552	609729	613351	678582		611973	647672	652554	565242		685774	691529	565728	647797		468709	495364	469073	492045		434361	277702	320666		280392	349173	335865	355460		277070	272218	297934	318897		286957	277851	280502	271305	231435	289568	300743	280743	262513	Número de personas
09	Ciudad de México	0	Estatal	6200032090	"Población ocupada con ingresos de más de 3 hasta 5 salarios mínimos - 15 años y más, hombres"													554545	546672	550529	559629		474579	498960	472163	453502		450633	458020	481322	444734		494320	498436	480266	472800		508368	525896	519116	485046		413495	401198	406063	358301		432822	383460	411054	417439		432223	377060	433009	380567		436503	393443	401871	412458		394232	382241	336941	354298		417879	376135	399251	429229		327722	397162	365476	422967		366175	387582	397706	328150		398972	407396	349877	400268		293409	304013	287124	292865		267848	165138	185671		154721	238032	207330	216726		153199	152102	185115	192727		175379	160488	166021	155911	149508	180862	185805	152773	152357	Número de personas
09	Ciudad de México	0	Estatal	6200032091	"Población ocupada con ingresos de más de 3 hasta 5 salarios mínimos - 15 años y más, mujeres"													264017	269898	268649	286792		288338	287471	278921	276584		270452	244240	293541	253563		278865	285152	286097	230746		306770	328213	308906	267949		241341	238961	203724	232479		231942	227736	187729	236951		231121	237127	248855	224171		232823	229667	272350	279067		238815	230783	213906	201773		205250	222130	263360	232161		240830	212567	247875	255615		245798	260090	254848	237092		286802	284133	215851	247529		175300	191351	181949	199180		166513	112564	134995		125671	111141	128535	138734		123871	120116	112819	126170		111578	117363	114481	115394	81927	108706	114938	127970	110156	Número de personas
09	Ciudad de México	0	Estatal	6200032092	Población ocupada con ingresos de más de 5 salarios mínimos - 15 años y más													524347	546661	570565	646406		608961	643784	689087	675402		665059	704535	686593	650545		635311	609495	619636	626060		527314	601433	537495	481412		488838	501225	500575	443371		432889	497881	508861	487659		487768	464240	460018	493523		436538	421603	448840	448520		311852	350978	308483	316672		330780	341962	437276	389287		346891	350448	404900	424151		369893	395443	369548	279195		308616	344322	316421	307937		255631	267281	223815	271807		248885	169290	199028		179678	163524	161217	196590		134809	132953	108055	163854		109695	140027	181646	186980	168158	199259	205682	174527	159793	Número de personas
09	Ciudad de México	0	Estatal	6200032093	"Población ocupada con ingresos de más de 5 salarios mínimos - 15 años y más, hombres"													349560	367134	382570	418306		394691	433787	456080	451099		450201	471480	443778	452713		425675	415622	410762	410247		354834	390592	359502	312438		313957	317531	316747	301409		289708	325273	318913	307939		316947	278017	282719	308869		280186	261840	267860	276325		205193	223995	195217	198887		208434	220623	264015	253684		209542	203122	269291	264332		233012	254872	239833	174272		191975	208861	209461	190424		172188	181705	138570	178918		163008	103559	121626		108749	113991	101802	132318		78928	84882	61267	105859		85780	93949	109441	121898	111256	117050	140586	107191	106247	Número de personas
09	Ciudad de México	0	Estatal	6200032094	"Población ocupada con ingresos de más de 5 salarios mínimos - 15 años y más, mujeres"													174787	179527	187995	228100		214270	209997	233007	224303		214858	233055	242815	197832		209636	193873	208874	215813		172480	210841	177993	168974		174881	183694	183828	141962		143181	172608	189948	179720		170821	186223	177299	184654		156352	159763	180980	172195		106659	126983	113266	117785		122346	121339	173261	135603		137349	147326	135609	159819		136881	140571	129715	104923		116641	135461	106960	117513		83443	85576	85245	92889		85877	65731	77402		70929	49533	59415	64272		55881	48071	46788	57995		23915	46078	72205	65082	56902	82209	65096	67336	53546	Número de personas
09	Ciudad de México	0	Estatal	6200032095	Población ocupada que no recibe ingresos - 15 años y más													124311	132038	120865	135185		107816	145375	127405	146726		137657	121002	91493	110147		115394	100924	106386	120156		112113	116880	114717	105835		113216	121195	117351	112862		104014	126493	128747	145988		127508	115192	134245	123720		105151	100237	114977	117311		104065	105234	137704	131087		97937	113714	121897	99439		105625	88185	105532	81626		71585	66601	93170	83392		85989	80112	102394	78477		98523	88737	68175	91405		80041	57907	74736		66311	71523	87766	79116		83980	84735	88250	91294		70906	70243	90867	74802	124505	94654	102774	89309	67873	Número de personas
09	Ciudad de México	0	Estatal	6200032096	"Población ocupada que no recibe ingresos - 15 años y más, hombres"													47989	45233	39478	41947		40434	47637	40823	51603		44679	45645	31505	27810		31445	27466	26189	31260		37721	38005	39522	36597		40651	37649	40864	44235		35194	46356	35906	49580		35938	42189	48820	43052		31378	38978	38254	39361		27913	31527	41277	57776		34237	39835	48699	31715		28095	30545	28330	24860		11548	26760	24088	26167		21471	24773	28399	24109		22683	32682	24608	21398		22138	18778	34274		24651	25607	32216	30066		34144	39053	33863	25910		19735	27694	32897	32500	48657	41812	35559	26220	19287	Número de personas
09	Ciudad de México	0	Estatal	6200032097	"Población ocupada que no recibe ingresos - 15 años y más, mujeres"													76322	86805	81387	93238		67382	97738	86582	95123		92978	75357	59988	82337		83949	73458	80197	88896		74392	78875	75195	69238		72565	83546	76487	68627		68820	80137	92841	96408		91570	73003	85425	80668		73773	61259	76723	77950		76152	73707	96427	73311		63700	73879	73198	67724		77530	57640	77202	56766		60037	39841	69082	57225		64518	55339	73995	54368		75840	56055	43567	70007		57903	39129	40462		41660	45916	55550	49050		49836	45682	54387	65384		51171	42549	57970	42302	75848	52842	67215	63089	48586	Número de personas
09	Ciudad de México	0	Estatal	6200032098	Población ocupada con ingresos no especificados - 15 años y más													311366	248142	200394	269298		320418	255908	352307	360011		398328	412372	359559	454552		421188	391385	384101	411386		497174	432362	501453	578804		479826	565740	591876	628212		656948	680769	720274	781417		710976	882547	826802	920690		804092	924672	862828	916057		911211	974742	968771	955596		912405	926007	862256	907100		946539	1000344	822680	814726		835223	706511	883818	1039764		813143	797126	1020557	890756		798519	870012	893346	765887		642078	654189	550408		660325	616019	700586	688420		656896	594696	752473	783177		598665	715960	681504	627966	583117	726787	534847	766492	682847	Número de personas
09	Ciudad de México	0	Estatal	6200032099	"Población ocupada con ingresos no especificados - 15 años y más, hombres"													194439	153297	130437	169819		192272	148871	210800	224050		236719	260607	218912	281465		261543	250274	242609	255663		307425	264777	303396	364741		289529	345397	370475	352216		380285	395061	428872	460557		406352	507714	490514	565409		465709	545028	501766	529410		525517	528441	553869	547433		524351	535015	508874	538150		555138	604548	491414	488699		487845	384578	513859	572420		484955	447401	596714	528655		473753	513558	532879	426387		362682	388495	315928		390059	347865	404913	391567		379929	352607	445023	446849		356373	405590	404533	357292	322029	406466	296681	417434	395517	Número de personas
09	Ciudad de México	0	Estatal	6200032100	"Población ocupada con ingresos no especificados - 15 años y más, mujeres"													116927	94845	69957	99479		128146	107037	141507	135961		161609	151765	140647	173087		159645	141111	141492	155723		189749	167585	198057	214063		190297	220343	221401	275996		276663	285708	291402	320860		304624	374833	336288	355281		338383	379644	361062	386647		385694	446301	414902	408163		388054	390992	353382	368950		391401	395796	331266	326027		347378	321933	369959	467344		328188	349725	423843	362101		324766	356454	360467	339500		279396	265694	234480		270266	268154	295673	296853		276967	242089	307450	336328		242292	310370	276971	270674	261088	320321	238166	349058	287330	Número de personas
09	Ciudad de México	0	Estatal	6200089275	Cantidad de personal ocupado total en la prestación del servicio de agua potable																																															781										512																																																						Número
09	Ciudad de México	0	Estatal	6200089276	Cantidad de personal sindicalizado ocupado en la prestación del servicio de agua potable																																															587										410																																																						Número
09	Ciudad de México	0	Estatal	6200089277	Cantidad de personal de confianza ocupado en la prestación del servicio de agua potable																																															194										11																																																						Número
09	Ciudad de México	0	Estatal	6200093709	Población ocupada en el sector informal - 15 años y más													1076010	1053459	1133768	1203011		1145506	1073228	1010672	973863		993399	967344	1006724	1038529		1035080	1093193	1003587	1019679		1033720	1091655	1043516	1063140		1094506	1072715	1058256	1038162		1062133	1096215	1163319	1180155		1196064	1200180	1207907	1200989		1219615	1201833	1217389	1225781		1212249	1195705	1195213	1278901		1246086	1266413	1272355	1230237		1175106	1138240	1161523	1190551		1231294	1183290	1188319	1164257		1233055	1282270	1285818	1297373		1363464	1431157	1386117	1357354		1276560	989775	1133485		1133564	1222336	1389540	1350272		1288720	1438282	1395843	1337201		1379588	1375766	1400268	1326253	1323855	1318207	1310539	1352472	1324049	Personas
09	Ciudad de México	0	Estatal	6200093715	"Población ocupada en el sector informal - 15 años y más, mujeres"													347142	336972	394853	431889		394525	379012	378281	370071		367205	357790	371658	390773		380463	423677	358140	383372		369353	399718	403984	392242		390858	411108	389105	381640		370583	397359	427923	438120		460810	463833	450115	483735		438645	447577	485122	486642		467345	458668	451332	472259		457939	465613	482115	445718		448254	396598	439017	428469		449204	430618	460218	440788		461980	493138	474361	476320		507808	535138	522069	528443		468679	377411	436026		424161	449607	541851	525102		495652	537978	547557	566159		567615	564939	574353	545617	540411	565676	561280	589801	564942	Personas
09	Ciudad de México	0	Estatal	6200093716	"Población ocupada en el sector informal - 15 años y más, hombres"													728868	716487	738915	771122		750981	694216	632391	603792		626194	609554	635066	647756		654617	669516	645447	636307		664367	691937	639532	670898		703648	661607	669151	656522		691550	698856	735396	742035		735254	736347	757792	717254		780970	754256	732267	739139		744904	737037	743881	806642		788147	800800	790240	784519		726852	741642	722506	762082		782090	752672	728101	723469		771075	789132	811457	821053		855656	896019	864048	828911		807881	612364	697459		709403	772729	847689	825170		793068	900304	848286	771042		811973	810827	825915	780636	783444	752531	749259	762671	759107	Personas
09	Ciudad de México	0	Estatal	6200093950	"Población ocupada - 15 años y más, hombres"													2246102	2204593	2211807	2250365		2243432	2247077	2284180	2238155		2257972	2238355	2259530	2256222		2274233	2280751	2250701	2207780		2206621	2200008	2212284	2231880		2231386	2228861	2276602	2174019		2240004	2244521	2287941	2309387		2297106	2300074	2365751	2359772		2351872	2307130	2289313	2330985		2254188	2246196	2270360	2327522		2283026	2361044	2443814	2455652		2401752	2420660	2456342	2459201		2417678	2387263	2403040	2345699		2396193	2457306	2517858	2473500		2511143	2571321	2554559	2497470		2465825	2024362	2157907		2178955	2344779	2423314	2482984		2439094	2542214	2536967	2581577		2626489	2566460	2604034	2555880	2546506	2564276	2600940	2616116	2595643	Personas
09	Ciudad de México	0	Estatal	6200093954	Población ocupada - 15 años y más													3746052	3790800	3778528	3913841		3879356	3884160	3957838	3936495		3944569	3882601	3924236	3964657		3949209	3992661	3904975	3845065		3896719	3884710	3914632	3911990		3900928	3925211	3979974	3899500		3907079	3965787	4024145	4123149		4070286	4163882	4184779	4222150		4147311	4119184	4197967	4241689		4090105	4090606	4120061	4136416		4097105	4209162	4399945	4283057		4257225	4258358	4329448	4303094		4292238	4255956	4349515	4306043		4387044	4473314	4473679	4411790		4452453	4505698	4516175	4507009		4439595	3600994	3890453		3870454	4117427	4393859	4465106		4385718	4534376	4546515	4698174		4693298	4709095	4712506	4657701	4715069	4834239	4894634	5010045	4892875	Personas
09	Ciudad de México	0	Estatal	6200093956	"Población ocupada - 15 años y más, mujeres"													1499950	1586207	1566721	1663476		1635924	1637083	1673658	1698340		1686597	1644246	1664706	1708435		1674976	1711910	1654274	1637285		1690098	1684702	1702348	1680110		1669542	1696350	1703372	1725481		1667075	1721266	1736204	1813762		1773180	1863808	1819028	1862378		1795439	1812054	1908654	1910704		1835917	1844410	1849701	1808894		1814079	1848118	1956131	1827405		1855473	1837698	1873106	1843893		1874560	1868693	1946475	1960344		1990851	2016008	1955821	1938290		1941310	1934377	1961616	2009539		1973770	1576632	1732546		1691499	1772648	1970545	1982122		1946624	1992162	2009548	2116597		2066809	2142635	2108472	2101821	2168563	2269963	2293694	2393929	2297232	Personas
09	Ciudad de México	0	Estatal	6200093960	Población económicamente activa - 15 años y más													3966479	4006926	4032796	4115496		4103440	4087684	4218668	4163998		4180271	4121964	4191545	4203358		4168111	4222431	4166851	4079507		4124992	4171123	4273548	4179659		4163007	4240366	4276405	4171369		4176129	4211227	4323370	4387901		4334601	4442762	4471734	4494324		4431467	4426184	4462195	4484476		4360003	4390795	4445751	4398280		4347337	4447152	4632945	4519920		4514057	4486887	4558217	4498050		4459853	4476368	4585875	4512505		4553542	4715514	4687430	4650115		4673528	4750814	4753657	4749279		4659781	3913737	4166769		4175657	4439594	4724127	4744648		4658108	4793126	4798534	4921131		4876283	4924263	4912263	4847179	4910037	5037773	5096702	5218209	5066685	Personas
09	Ciudad de México	0	Estatal	6200093963	Población en edad de trabajar  (15 años y más)													6675766	6699873	6677879	6701063		6627522	6625103	6642432	6649536		6666871	6675732	6729437	6718941		6741754	6767088	6802277	6787001		6843641	6895171	6905703	6925616		6919232	6941939	6915739	6923057		6927711	6911639	6897423	6941309		6911197	6919776	6974863	6988588		7052922	7104545	7114418	7168268		7172764	7127760	7166023	7206285		7237910	7283254	7385156	7348353		7320267	7346430	7334003	7339867		7360076	7449017	7451490	7487330		7502455	7544635	7509147	7533597		7582987	7609482	7605039	7616071		7644172	7693092	7663297		7746749	7762196	7791992	7788791		7752905	7794652	7861002	7857997		7878274	7898744	7903429	7935668	7996699	8015467	8031706	8003513	8015176	Personas
09	Ciudad de México	0	Estatal	6200093973	Población desocupada - 15 años y más													220427	216126	254268	201655		224084	203524	260830	227503		235702	239363	267309	238701		218902	229770	261876	234442		228273	286413	358916	267669		262079	315155	296431	271869		269050	245440	299225	264752		264315	278880	286955	272174		284156	307000	264228	242787		269898	300189	325690	261864		250232	237990	233000	236863		256832	228529	228769	194956		167615	220412	236360	206462		166498	242200	213751	238325		221075	245116	237482	242270		220186	312743	276316		305203	322167	330268	279542		272390	258750	252019	222957		182985	215168	199757	189478	194968	203534	202068	208164	173810	Personas
09	Ciudad de México	0	Estatal	6200093974	"Población desocupada - 15 años y más, hombres"													119617	128656	135745	108281		123152	113130	140208	121751		127978	142047	146067	119107		121823	116419	146698	134662		119453	159647	182560	158112		153609	196387	151101	173635		160661	150599	168852	150196		150351	158309	163634	155276		166358	171154	146140	136130		163738	167321	190926	147147		150937	111680	131562	126439		149997	131726	141065	112809		96357	109014	126504	112149		91893	136405	121412	142977		126294	138612	138277	146047		138574	189094	179240		184876	170288	174800	146699		163713	155270	137374	119331		97156	111102	122431	91333	91326	95274	109737	118057	90293	Personas
09	Ciudad de México	0	Estatal	6200093975	"Población desocupada - 15 años y más, mujeres"													100810	87470	118523	93374		100932	90394	120622	105752		107724	97316	121242	119594		97079	113351	115178	99780		108820	126766	176356	109557		108470	118768	145330	98234		108389	94841	130373	114556		113964	120571	123321	116898		117798	135846	118088	106657		106160	132868	134764	114717		99295	126310	101438	110424		106835	96803	87704	82147		71258	111398	109856	94313		74605	105795	92339	95348		94781	106504	99205	96223		81612	123649	97076		120327	151879	155468	132843		108677	103480	114645	103626		85829	104066	77326	98145	103642	108260	92331	90107	83517	Personas
09	Ciudad de México	0	Estatal	6207019030	Porcentaje de población de 12 años y más económicamente activa																																																														56.012316																									64.4300125614317																								Porcentaje
09	Ciudad de México	0	Estatal	6207019035	Porcentaje de la población de 12 años y más No Económicamente Activa																																																														43.661659																									35.3556863566024																								Porcentaje
09	Ciudad de México	0	Estatal	6207019039	Porcentaje de la población de 12 años y más económicamente activa ocupada																																																														95.914481																									97.7551183274683																								Porcentaje
